

# Contour value=10.00 
mST_GeV,deltaM_GeV
1.0903e+03,3.0035e+02
1.0909e+03,3.0307e+02
1.0915e+03,3.0578e+02
1.0923e+03,3.0849e+02
1.0930e+03,3.1121e+02
1.0937e+03,3.1392e+02
1.0945e+03,3.1663e+02
1.0952e+03,3.1935e+02
1.0959e+03,3.2206e+02
1.0967e+03,3.2477e+02
1.0974e+03,3.2749e+02
1.0981e+03,3.3020e+02
1.0989e+03,3.3291e+02
1.0996e+03,3.3563e+02
1.1003e+03,3.3834e+02
1.1005e+03,3.3894e+02
1.1010e+03,3.4106e+02
1.1017e+03,3.4377e+02
1.1023e+03,3.4648e+02
1.1030e+03,3.4920e+02
1.1036e+03,3.5191e+02
1.1042e+03,3.5462e+02
1.1048e+03,3.5734e+02
1.1054e+03,3.6005e+02
1.1060e+03,3.6276e+02
1.1066e+03,3.6548e+02
1.1072e+03,3.6819e+02
1.1078e+03,3.7090e+02
1.1084e+03,3.7362e+02
1.1090e+03,3.7633e+02
1.1096e+03,3.7905e+02
1.1102e+03,3.8176e+02
1.1108e+03,3.8447e+02
1.1114e+03,3.8719e+02
1.1120e+03,3.8990e+02
1.1126e+03,3.9261e+02
1.1132e+03,3.9533e+02
1.1138e+03,3.9804e+02
1.1141e+03,3.9936e+02
1.1144e+03,4.0075e+02
1.1149e+03,4.0347e+02
1.1154e+03,4.0618e+02
1.1159e+03,4.0889e+02
1.1165e+03,4.1161e+02
1.1170e+03,4.1432e+02
1.1175e+03,4.1704e+02
1.1180e+03,4.1975e+02
1.1185e+03,4.2246e+02
1.1191e+03,4.2518e+02
1.1196e+03,4.2789e+02
1.1201e+03,4.3060e+02
1.1206e+03,4.3332e+02
1.1211e+03,4.3603e+02
1.1217e+03,4.3874e+02
1.1222e+03,4.4146e+02
1.1228e+03,4.4417e+02
1.1233e+03,4.4688e+02
1.1239e+03,4.4960e+02
1.1244e+03,4.5231e+02
1.1249e+03,4.5503e+02
1.1254e+03,4.5774e+02
1.1259e+03,4.6045e+02
1.1264e+03,4.6317e+02
1.1269e+03,4.6588e+02
1.1274e+03,4.6859e+02
1.1276e+03,4.6996e+02
1.1279e+03,4.7131e+02
1.1284e+03,4.7402e+02
1.1289e+03,4.7673e+02
1.1294e+03,4.7945e+02
1.1299e+03,4.8216e+02
1.1304e+03,4.8487e+02
1.1309e+03,4.8759e+02
