

# Contour for yDM=12 
mST_GeV,mChi_GeV,yDM
1.4587e+03,1.1018e+03,2.0000e+01
1.4583e+03,1.1034e+03,2.0000e+01
1.4580e+03,1.1051e+03,2.0000e+01
1.4577e+03,1.1067e+03,2.0000e+01
1.4574e+03,1.1083e+03,2.0000e+01
1.4571e+03,1.1100e+03,2.0000e+01
1.4568e+03,1.1116e+03,2.0000e+01
1.4564e+03,1.1133e+03,2.0000e+01
1.4561e+03,1.1149e+03,2.0000e+01
1.4558e+03,1.1166e+03,2.0000e+01
1.4558e+03,1.1167e+03,2.0000e+01
1.4555e+03,1.1182e+03,2.0000e+01
1.4552e+03,1.1198e+03,2.0000e+01
1.4548e+03,1.1215e+03,2.0000e+01
1.4545e+03,1.1231e+03,2.0000e+01
1.4542e+03,1.1248e+03,2.0000e+01
1.4539e+03,1.1264e+03,2.0000e+01
1.4536e+03,1.1281e+03,2.0000e+01
1.4533e+03,1.1297e+03,2.0000e+01
1.4529e+03,1.1313e+03,2.0000e+01
1.4526e+03,1.1330e+03,2.0000e+01
1.4523e+03,1.1346e+03,2.0000e+01
1.4520e+03,1.1362e+03,2.0000e+01
1.4518e+03,1.1367e+03,2.0000e+01
1.4514e+03,1.1376e+03,2.0000e+01
1.4508e+03,1.1390e+03,2.0000e+01
1.4503e+03,1.1404e+03,2.0000e+01
1.4497e+03,1.1418e+03,2.0000e+01
1.4492e+03,1.1432e+03,2.0000e+01
1.4486e+03,1.1446e+03,2.0000e+01
1.4480e+03,1.1460e+03,2.0000e+01
1.4477e+03,1.1467e+03,2.0000e+01
1.4475e+03,1.1474e+03,2.0000e+01
1.4473e+03,1.1492e+03,2.0000e+01
1.4471e+03,1.1510e+03,2.0000e+01
1.4470e+03,1.1528e+03,2.0000e+01
1.4468e+03,1.1546e+03,2.0000e+01
1.4466e+03,1.1564e+03,2.0000e+01
1.4465e+03,1.1582e+03,2.0000e+01
1.4463e+03,1.1600e+03,2.0000e+01
1.4461e+03,1.1618e+03,2.0000e+01
1.4460e+03,1.1636e+03,2.0000e+01
1.4458e+03,1.1643e+03,2.0000e+01
1.4388e+03,1.1986e+03,2.0000e+01
1.4386e+03,1.1993e+03,2.0000e+01
1.4383e+03,1.2009e+03,2.0000e+01
1.4379e+03,1.2026e+03,2.0000e+01
1.4376e+03,1.2042e+03,2.0000e+01
1.4373e+03,1.2058e+03,2.0000e+01
1.4369e+03,1.2074e+03,2.0000e+01
1.4366e+03,1.2091e+03,2.0000e+01
1.4363e+03,1.2107e+03,2.0000e+01
1.4359e+03,1.2123e+03,2.0000e+01
1.4357e+03,1.2134e+03,2.0000e+01
1.4356e+03,1.2139e+03,2.0000e+01
1.4352e+03,1.2155e+03,2.0000e+01
1.4349e+03,1.2172e+03,2.0000e+01
1.4346e+03,1.2188e+03,2.0000e+01
1.4342e+03,1.2204e+03,2.0000e+01
1.4339e+03,1.2220e+03,2.0000e+01
1.4336e+03,1.2237e+03,2.0000e+01
1.4332e+03,1.2253e+03,2.0000e+01
1.4329e+03,1.2269e+03,2.0000e+01
1.4325e+03,1.2285e+03,2.0000e+01
1.4322e+03,1.2302e+03,2.0000e+01
1.4319e+03,1.2318e+03,2.0000e+01
1.4318e+03,1.2336e+03,2.0000e+01
1.4317e+03,1.2355e+03,2.0000e+01
1.4317e+03,1.2373e+03,2.0000e+01
1.4317e+03,1.2374e+03,2.0000e+01
1.4316e+03,1.2393e+03,2.0000e+01
1.4315e+03,1.2412e+03,2.0000e+01
1.4314e+03,1.2431e+03,2.0000e+01
1.4314e+03,1.2450e+03,2.0000e+01
1.4313e+03,1.2469e+03,2.0000e+01
1.4312e+03,1.2488e+03,2.0000e+01
1.4312e+03,1.2507e+03,2.0000e+01
1.4311e+03,1.2526e+03,2.0000e+01
1.4310e+03,1.2544e+03,2.0000e+01
1.4310e+03,1.2563e+03,2.0000e+01
1.4309e+03,1.2582e+03,2.0000e+01
1.4308e+03,1.2601e+03,2.0000e+01
1.4307e+03,1.2620e+03,2.0000e+01
1.4307e+03,1.2639e+03,2.0000e+01
1.4306e+03,1.2658e+03,2.0000e+01
1.4305e+03,1.2677e+03,2.0000e+01
1.4305e+03,1.2696e+03,2.0000e+01
1.4304e+03,1.2715e+03,2.0000e+01
1.4303e+03,1.2733e+03,2.0000e+01
1.4303e+03,1.2752e+03,2.0000e+01
1.4302e+03,1.2771e+03,2.0000e+01
1.4301e+03,1.2790e+03,2.0000e+01
1.4301e+03,1.2809e+03,2.0000e+01
1.4300e+03,1.2828e+03,2.0000e+01
1.4299e+03,1.2847e+03,2.0000e+01
1.4298e+03,1.2866e+03,2.0000e+01
1.4298e+03,1.2885e+03,2.0000e+01
1.4297e+03,1.2904e+03,2.0000e+01
1.4296e+03,1.2923e+03,2.0000e+01
1.4296e+03,1.2941e+03,2.0000e+01
1.4295e+03,1.2960e+03,2.0000e+01
1.4294e+03,1.2979e+03,2.0000e+01
1.4294e+03,1.2998e+03,2.0000e+01
1.4293e+03,1.3017e+03,2.0000e+01
1.4292e+03,1.3036e+03,2.0000e+01
1.4291e+03,1.3054e+03,2.0000e+01
1.4286e+03,1.3069e+03,2.0000e+01
1.4281e+03,1.3084e+03,2.0000e+01
1.4276e+03,1.3096e+03,2.0000e+01
1.4276e+03,1.3098e+03,2.0000e+01
1.4271e+03,1.3112e+03,2.0000e+01
1.4265e+03,1.3127e+03,2.0000e+01
1.4260e+03,1.3141e+03,2.0000e+01
1.4255e+03,1.3155e+03,2.0000e+01
1.4249e+03,1.3169e+03,2.0000e+01
1.4244e+03,1.3184e+03,2.0000e+01
1.4239e+03,1.3198e+03,2.0000e+01
1.4236e+03,1.3205e+03,2.0000e+01
1.4234e+03,1.3212e+03,2.0000e+01
1.4228e+03,1.3227e+03,2.0000e+01
1.4218e+03,1.3236e+03,2.0000e+01
1.4207e+03,1.3245e+03,2.0000e+01
1.4196e+03,1.3254e+03,2.0000e+01
1.4196e+03,1.3254e+03,2.0000e+01
1.4185e+03,1.3262e+03,2.0000e+01
1.4175e+03,1.3271e+03,2.0000e+01
1.4164e+03,1.3280e+03,2.0000e+01
1.4156e+03,1.3287e+03,2.0000e+01
1.4153e+03,1.3289e+03,2.0000e+01
1.4142e+03,1.3298e+03,2.0000e+01
1.4132e+03,1.3306e+03,2.0000e+01
1.4121e+03,1.3315e+03,2.0000e+01
1.4116e+03,1.3319e+03,2.0000e+01
1.4110e+03,1.3324e+03,2.0000e+01
1.4099e+03,1.3333e+03,2.0000e+01
1.4088e+03,1.3342e+03,2.0000e+01
1.4078e+03,1.3350e+03,2.0000e+01
1.4075e+03,1.3352e+03,2.0000e+01
1.4067e+03,1.3359e+03,2.0000e+01
1.4056e+03,1.3368e+03,2.0000e+01
1.4045e+03,1.3377e+03,2.0000e+01
1.4040e+03,1.3391e+03,2.0000e+01
1.4038e+03,1.3409e+03,2.0000e+01
1.4037e+03,1.3428e+03,2.0000e+01
1.4036e+03,1.3446e+03,2.0000e+01
1.4035e+03,1.3454e+03,2.0000e+01
1.4034e+03,1.3464e+03,2.0000e+01
1.4033e+03,1.3482e+03,2.0000e+01
1.4032e+03,1.3501e+03,2.0000e+01
