#: table_doi: 10.17182/hepdata.106115.v2/t16
#: name: Simplified likelihood: covariance matrix (Mono-V)
#: description: Matrix of covariance coefficients between signal region bins. The coefficients are obtained from the background-only fit to the control regions, and serve as input to the simplified likelihood reinterpretation scheme.
#: data_file: simplified_likelihood:_covariance_matrix_(mono-v).yaml
#: keyword cmenergies: 13000.0
First Bin,Second Bin,Covariance
monovloose_2017_bin3,monovtau21_2016_bin4,2.038254723
monovloose_2017_bin3,monovtau21_2016_bin5,0.7055909177
monovloose_2017_bin3,monovtau21_2016_bin6,-9.229213514
monovloose_2017_bin3,monovloose_2017_bin0,11054.33722
monovloose_2017_bin3,monovloose_2017_bin1,7312.179999
monovloose_2017_bin3,monovloose_2017_bin2,3823.390368
monovloose_2017_bin3,monovloose_2017_bin3,4675.358279
monovloose_2017_bin3,monovloose_2017_bin4,952.8259713
monovloose_2017_bin3,monovloose_2017_bin5,373.1373825
monovloose_2017_bin3,monovloose_2017_bin6,152.960988
monovloose_2017_bin3,monovloose_2018_bin0,1819.565419
monovloose_2017_bin3,monovloose_2018_bin1,1342.083877
monovloose_2017_bin3,monovloose_2018_bin2,726.4666769
monovloose_2017_bin3,monovloose_2018_bin3,498.3965826
monovloose_2017_bin3,monovloose_2018_bin4,175.034603
monovloose_2017_bin3,monovloose_2018_bin5,88.07954845
monovloose_2017_bin3,monovloose_2018_bin6,24.94523703
monovloose_2017_bin3,monovtight_2017_bin0,1140.876577
monovloose_2017_bin3,monovtight_2017_bin1,657.1702635
monovloose_2017_bin3,monovtight_2017_bin2,332.5016534
monovloose_2017_bin3,monovtight_2017_bin3,168.3131661
monovloose_2017_bin3,monovtight_2017_bin4,65.11349783
monovloose_2017_bin3,monovtight_2017_bin5,7.138532118
monovloose_2017_bin3,monovtight_2017_bin6,9.028549137
monovloose_2017_bin3,monovtight_2018_bin0,395.7653742
monovloose_2017_bin3,monovtight_2018_bin1,208.1715286
monovloose_2017_bin3,monovtight_2018_bin2,57.52965706
monovloose_2017_bin3,monovtight_2018_bin3,61.79771712
monovloose_2017_bin3,monovtight_2018_bin4,36.47910096
monovloose_2017_bin3,monovtight_2018_bin5,-5.083527275
monovloose_2017_bin3,monovtight_2018_bin6,3.238595754
monovloose_2017_bin4,monovtau21_2016_bin0,-81.92644284
monovloose_2017_bin4,monovtau21_2016_bin1,40.66297928
monovloose_2017_bin4,monovtau21_2016_bin2,-2.623704229
monovloose_2017_bin4,monovtau21_2016_bin3,-41.02745184
monovloose_2017_bin4,monovtau21_2016_bin4,7.198278426
monovloose_2017_bin4,monovtau21_2016_bin5,5.548368298
monovloose_2017_bin4,monovtau21_2016_bin6,0.6782062567
monovloose_2017_bin4,monovloose_2017_bin0,2773.63205
monovloose_2017_bin4,monovloose_2017_bin1,1876.354496
monovloose_2017_bin4,monovloose_2017_bin2,1076.199722
monovloose_2017_bin4,monovloose_2017_bin3,952.8259713
monovloose_2017_bin4,monovloose_2017_bin4,634.5122081
monovloose_2017_bin4,monovloose_2017_bin5,152.5759195
monovloose_2017_bin4,monovloose_2017_bin6,67.85427736
monovloose_2017_bin4,monovloose_2018_bin0,567.0208414
monovloose_2017_bin4,monovloose_2018_bin1,471.5051461
monovloose_2017_bin4,monovloose_2018_bin2,247.1218832
monovloose_2017_bin4,monovloose_2018_bin3,145.2428661
monovloose_2017_bin4,monovloose_2018_bin4,43.91081265
monovloose_2017_bin4,monovloose_2018_bin5,27.10617232
monovloose_2017_bin4,monovloose_2018_bin6,8.758441376
monovloose_2017_bin4,monovtight_2017_bin0,269.7085874
