#: table_doi: 10.17182/hepdata.106115.v2/t21
#: name: Cut flow for Monojet, DM, spin-0 mediator
#: description: Unweighted signal acceptance times efficiency at every cut stage. The requirements called "HCAL mitigation" refer to the requirements imposed in the 2018 data set in order to mitigate the localized failure of the HCAL detector.
#: data_file: cut_flow_for_monojet,_dm,_spin-0_mediator.yaml
#: keyword reactions: P P --> INVISIBLE JET
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword cmenergies: 13000.0
#: Coupling,Scalar
#: Mode,$\chi\chi+j$
Muon veto,0.25507
Tau veto,0.24883
B jet veto,0.24883
Photon veto,0.24739
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.23097
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.23036
Leading AK4 jet $p_{T} > 100$ GeV,0.21032
Leading AK4 jet $\eta < 2.4$,0.21032
Leading AK4 jet energy fractions,0.20928
Mono-V overlap removal,0.19823
HCAL mitigation (jets),0.18603
HCAL mitigation ($\phi^{miss}$),0.15837
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.15835

#: Coupling,Scalar
#: Mode,$\chi\chi$+Z(qq)
#: $m_{med}$,50.0
#: $m_{DM}$,22.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.66781
$p_{T}^{miss} > 250$ GeV,0.33146
$p_{T}^{miss}$ quality filters,0.33096
Electron veto,0.32486
Muon veto,0.31876
Tau veto,0.30359
B jet veto,0.30359
Photon veto,0.30197
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.27272
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.27236
Leading AK4 jet $p_{T} > 100$ GeV,0.26414
Leading AK4 jet $\eta < 2.4$,0.26414
Leading AK4 jet energy fractions,0.26165
Mono-V overlap removal,0.17211
HCAL mitigation (jets),0.16304
HCAL mitigation ($\phi^{miss}$),0.14079
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.1407

#: Coupling,Scalar
#: Mode,$\chi\chi$+Z(qq)
#: $m_{med}$,500.0
#: $m_{DM}$,150.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.72548
$p_{T}^{miss} > 250$ GeV,0.47435
$p_{T}^{miss}$ quality filters,0.47339
Electron veto,0.46414
Muon veto,0.45521
Tau veto,0.43363
B jet veto,0.43363
Photon veto,0.43105
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.38466
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.38436
Leading AK4 jet $p_{T} > 100$ GeV,0.37571
Leading AK4 jet $\eta < 2.4$,0.37571
Leading AK4 jet energy fractions,0.37238
Mono-V overlap removal,0.23461
HCAL mitigation (jets),0.22225
HCAL mitigation ($\phi^{miss}$),0.19652
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.1964

#: Coupling,Scalar
#: Mode,$\chi\chi$+Z(qq)
#: $m_{med}$,50.0
#: $m_{DM}$,1.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.68211
$p_{T}^{miss} > 250$ GeV,0.33419
$p_{T}^{miss}$ quality filters,0.33347
Electron veto,0.32679
Muon veto,0.32043
Tau veto,0.30505
B jet veto,0.30505
Photon veto,0.30335
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.27366
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.27291
Leading AK4 jet $p_{T} > 100$ GeV,0.26354
Leading AK4 jet $\eta < 2.4$,0.26354
Leading AK4 jet energy fractions,0.261
Mono-V overlap removal,0.17187
HCAL mitigation (jets),0.17187
HCAL mitigation ($\phi^{miss}$),0.17187
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.17177

#: Coupling,Scalar
#: Mode,$\chi\chi+j$
#: $m_{med}$,800.0
#: $m_{DM}$,1.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.7205
$p_{T}^{miss} > 250$ GeV,0.35461
$p_{T}^{miss}$ quality filters,0.35391
Electron veto,0.35285
Muon veto,0.35182
Tau veto,0.34347
B jet veto,0.34347
Photon veto,0.34115
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.31455
